Equipment ID,Asset Number,Description,Location,Building,Floor,System,Subsystem,Manufacturer,Model,Serial Number,Voltage,Capacity,Weight,Dimensions,Delivery Status,Installation Status,Commissioning Status,Maintenance Status,Warranty,Criticality,Vendor,Purchase Order,Linked Schedule Activity
EQP-BMS-068,AST-BMS-068,BMS Control Network Asset Item 68,"Transformer Yard, Floor 3",Transformer Yard,Floor 3,BMS,BMS Control Network,OEM Standard,MOD-BMS-068,SN-BMS-068-99,230V AC,Standard Load,169 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-068,A150
EQP-FIR-069,AST-FIR-069,FM-200 Clean Agent System Asset Item 69,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 2,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-069,SN-FIR-069-99,230V AC,Standard Load,28 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-069,A440
EQP-MEC-070,AST-MEC-070,Chilled Water Plant Asset Item 70,"Transformer Yard, Floor 1",Transformer Yard,Floor 2,Mechanical,Chilled Water Plant,Carrier,MOD-MEC-070,SN-MEC-070-99,415V AC,2500 kW,308 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-ME-001,A440
EQP-BMS-071,AST-BMS-071,BMS Control Network Asset Item 71,"Utility Block Building, Floor 2",Utility Block Building,Floor 1,BMS,BMS Control Network,OEM Standard,MOD-BMS-071,SN-BMS-071-99,230V AC,Standard Load,111 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-071,A320
EQP-FIR-072,AST-FIR-072,FM-200 Clean Agent System Asset Item 72,"Utility Block Building, Floor 1",Utility Block Building,Floor 2,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-072,SN-FIR-072-99,230V AC,Standard Load,438 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-072,A440
EQP-ELE-073,AST-ELE-073,Diesel Generators Asset Item 73,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 2,Electrical,Diesel Generators,Cummins,MOD-ELE-073,SN-ELE-073-99,415V AC,3500 kW,35 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-EL-003,A150
EQP-MEC-074,AST-MEC-074,Condenser Cooling Towers Asset Item 74,"Transformer Yard, Floor 1",Transformer Yard,Floor 2,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-074,SN-MEC-074-99,415V AC,3000 GPM,490 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-074,A500
EQP-MEC-075,AST-MEC-075,Acoustic Exhaust Asset Item 75,"Generator Yard, Floor 3",Generator Yard,Floor 2,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-075,SN-MEC-075-99,415V AC,35 dB Attenuation,235 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-075,A240
EQP-MEC-076,AST-MEC-076,Condenser Cooling Towers Asset Item 76,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 1,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-076,SN-MEC-076-99,415V AC,3000 GPM,495 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-076,A240
EQP-BMS-077,AST-BMS-077,BMS Server Panel Asset Item 77,"Transformer Yard, Floor 2",Transformer Yard,Floor 2,BMS,BMS Server Panel,OEM Standard,MOD-BMS-077,SN-BMS-077-99,230V AC,Standard Load,481 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-077,A500
EQP-FIR-078,AST-FIR-078,CO2 Flooding System Asset Item 78,"Utility Block Building, Floor 2",Utility Block Building,Floor 1,Fire Protection,CO2 Flooding System,OEM Standard,MOD-FIR-078,SN-FIR-078-99,230V AC,Standard Load,118 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-078,A320
EQP-BMS-079,AST-BMS-079,BMS Control Network Asset Item 79,"Utility Block Building, Floor 2",Utility Block Building,Floor 2,BMS,BMS Control Network,OEM Standard,MOD-BMS-079,SN-BMS-079-99,230V AC,Standard Load,495 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-079,A440
EQP-FIR-080,AST-FIR-080,CO2 Flooding System Asset Item 80,"Data Centre Building 01, Floor 3",Data Centre Building 01,Floor 1,Fire Protection,CO2 Flooding System,OEM Standard,MOD-FIR-080,SN-FIR-080-99,230V AC,Standard Load,127 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-080,A440
EQP-MEC-081,AST-MEC-081,Condenser Cooling Towers Asset Item 81,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 1,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-081,SN-MEC-081-99,415V AC,3000 GPM,40 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-081,A240
EQP-BMS-082,AST-BMS-082,BMS Server Panel Asset Item 82,"Generator Yard, Floor 2",Generator Yard,Floor 1,BMS,BMS Server Panel,OEM Standard,MOD-BMS-082,SN-BMS-082-99,230V AC,Standard Load,330 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-082,A240
EQP-MEC-083,AST-MEC-083,CRAH System Asset Item 83,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 3,Mechanical,CRAH System,Vertiv,MOD-MEC-083,SN-MEC-083-99,415V AC,85 kW,249 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-ME-002,A500
EQP-FIR-084,AST-FIR-084,VESDA Aspiration Asset Item 84,"Utility Block Building, Floor 2",Utility Block Building,Floor 3,Fire Protection,VESDA Aspiration,OEM Standard,MOD-FIR-084,SN-FIR-084-99,230V AC,Standard Load,211 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-084,A500
EQP-MEC-085,AST-MEC-085,CRAH System Asset Item 85,"Utility Block Building, Floor 3",Utility Block Building,Floor 3,Mechanical,CRAH System,Vertiv,MOD-MEC-085,SN-MEC-085-99,415V AC,85 kW,202 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-ME-002,A440
EQP-MEC-086,AST-MEC-086,Acoustic Exhaust Asset Item 86,"Utility Block Building, Floor 2",Utility Block Building,Floor 2,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-086,SN-MEC-086-99,415V AC,35 dB Attenuation,291 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-086,A320
EQP-MEC-087,AST-MEC-087,Chilled Water Plant Asset Item 87,"Data Centre Building 01, Floor 3",Data Centre Building 01,Floor 1,Mechanical,Chilled Water Plant,Carrier,MOD-MEC-087,SN-MEC-087-99,415V AC,2500 kW,218 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-ME-001,A440
EQP-ELE-088,AST-ELE-088,Busduct Systems Asset Item 88,"Transformer Yard, Floor 2",Transformer Yard,Floor 1,Electrical,Busduct Systems,Godrej,MOD-ELE-088,SN-ELE-088-99,415V AC,3200 A,270 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-006,A240
EQP-FIR-089,AST-FIR-089,FM-200 Clean Agent System Asset Item 89,"Generator Yard, Floor 3",Generator Yard,Floor 1,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-089,SN-FIR-089-99,230V AC,Standard Load,165 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-089,A320
EQP-FIR-090,AST-FIR-090,FM-200 Clean Agent System Asset Item 90,"Transformer Yard, Floor 1",Transformer Yard,Floor 1,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-090,SN-FIR-090-99,230V AC,Standard Load,465 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-090,A320
EQP-BMS-091,AST-BMS-091,BMS Control Network Asset Item 91,"Utility Block Building, Floor 2",Utility Block Building,Floor 2,BMS,BMS Control Network,OEM Standard,MOD-BMS-091,SN-BMS-091-99,230V AC,Standard Load,386 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-091,A150
EQP-BMS-092,AST-BMS-092,BMS Control Network Asset Item 92,"Utility Block Building, Floor 3",Utility Block Building,Floor 3,BMS,BMS Control Network,OEM Standard,MOD-BMS-092,SN-BMS-092-99,230V AC,Standard Load,361 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-092,A320
EQP-BMS-093,AST-BMS-093,BMS Control Network Asset Item 93,"Generator Yard, Floor 3",Generator Yard,Floor 2,BMS,BMS Control Network,OEM Standard,MOD-BMS-093,SN-BMS-093-99,230V AC,Standard Load,180 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-093,A440
EQP-FIR-094,AST-FIR-094,CO2 Flooding System Asset Item 94,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 1,Fire Protection,CO2 Flooding System,OEM Standard,MOD-FIR-094,SN-FIR-094-99,230V AC,Standard Load,431 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-094,A320
EQP-ELE-095,AST-ELE-095,MV Switchgear Asset Item 95,"Transformer Yard, Floor 2",Transformer Yard,Floor 2,Electrical,MV Switchgear,Schneider Electric,MOD-ELE-095,SN-ELE-095-99,11 kV AC,31.5 kA,437 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-001,A240
EQP-MEC-096,AST-MEC-096,Condenser Cooling Towers Asset Item 96,"Utility Block Building, Floor 2",Utility Block Building,Floor 2,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-096,SN-MEC-096-99,415V AC,3000 GPM,256 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-096,A500
EQP-ELE-097,AST-ELE-097,UPS System Asset Item 97,"Data Centre Building 01, Floor 3",Data Centre Building 01,Floor 2,Electrical,UPS System,Vertiv,MOD-ELE-097,SN-ELE-097-99,415V AC,1600 kW,38 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-EL-002,A440
EQP-MEC-098,AST-MEC-098,CRAH System Asset Item 98,"Generator Yard, Floor 1",Generator Yard,Floor 2,Mechanical,CRAH System,Vertiv,MOD-MEC-098,SN-MEC-098-99,415V AC,85 kW,411 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-ME-002,A320
EQP-MEC-099,AST-MEC-099,Condenser Cooling Towers Asset Item 99,"Generator Yard, Floor 1",Generator Yard,Floor 3,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-099,SN-MEC-099-99,415V AC,3000 GPM,50 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-099,A150
EQP-BMS-100,AST-BMS-100,BMS Server Panel Asset Item 100,"Data Centre Building 01, Floor 3",Data Centre Building 01,Floor 1,BMS,BMS Server Panel,OEM Standard,MOD-BMS-100,SN-BMS-100-99,230V AC,Standard Load,476 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-100,A500
EQP-MEC-101,AST-MEC-101,Condenser Cooling Towers Asset Item 101,"Data Centre Building 01, Floor 3",Data Centre Building 01,Floor 1,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-101,SN-MEC-101-99,415V AC,3000 GPM,443 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-101,A320
EQP-MEC-102,AST-MEC-102,CRAH System Asset Item 102,"Transformer Yard, Floor 2",Transformer Yard,Floor 2,Mechanical,CRAH System,Vertiv,MOD-MEC-102,SN-MEC-102-99,415V AC,85 kW,263 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-ME-002,A440
EQP-MEC-103,AST-MEC-103,Condenser Cooling Towers Asset Item 103,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 2,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-103,SN-MEC-103-99,415V AC,3000 GPM,98 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-103,A240
EQP-FIR-104,AST-FIR-104,CO2 Flooding System Asset Item 104,"Generator Yard, Floor 1",Generator Yard,Floor 3,Fire Protection,CO2 Flooding System,OEM Standard,MOD-FIR-104,SN-FIR-104-99,230V AC,Standard Load,327 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-104,A240
EQP-FIR-105,AST-FIR-105,VESDA Aspiration Asset Item 105,"Data Centre Building 01, Floor 3",Data Centre Building 01,Floor 3,Fire Protection,VESDA Aspiration,OEM Standard,MOD-FIR-105,SN-FIR-105-99,230V AC,Standard Load,408 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-105,A500
EQP-BMS-106,AST-BMS-106,BMS Software System Asset Item 106,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 3,BMS,BMS Software System,OEM Standard,MOD-BMS-106,SN-BMS-106-99,230V AC,Standard Load,221 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-106,A150
EQP-MEC-107,AST-MEC-107,Chilled Water Plant Asset Item 107,"Generator Yard, Floor 3",Generator Yard,Floor 1,Mechanical,Chilled Water Plant,Carrier,MOD-MEC-107,SN-MEC-107-99,415V AC,2500 kW,171 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-ME-001,A150
EQP-BMS-108,AST-BMS-108,BMS Server Panel Asset Item 108,"Transformer Yard, Floor 3",Transformer Yard,Floor 2,BMS,BMS Server Panel,OEM Standard,MOD-BMS-108,SN-BMS-108-99,230V AC,Standard Load,203 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-108,A240
EQP-FIR-109,AST-FIR-109,VESDA Aspiration Asset Item 109,"Transformer Yard, Floor 3",Transformer Yard,Floor 2,Fire Protection,VESDA Aspiration,OEM Standard,MOD-FIR-109,SN-FIR-109-99,230V AC,Standard Load,148 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-109,A500
EQP-FIR-110,AST-FIR-110,Pre-action Sprinklers Asset Item 110,"Generator Yard, Floor 1",Generator Yard,Floor 1,Fire Protection,Pre-action Sprinklers,OEM Standard,MOD-FIR-110,SN-FIR-110-99,230V AC,Standard Load,252 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-110,A320
EQP-BMS-111,AST-BMS-111,BMS Software System Asset Item 111,"Generator Yard, Floor 2",Generator Yard,Floor 3,BMS,BMS Software System,OEM Standard,MOD-BMS-111,SN-BMS-111-99,230V AC,Standard Load,10 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-111,A240
EQP-BMS-112,AST-BMS-112,BMS Server Panel Asset Item 112,"Generator Yard, Floor 3",Generator Yard,Floor 2,BMS,BMS Server Panel,OEM Standard,MOD-BMS-112,SN-BMS-112-99,230V AC,Standard Load,273 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-112,A150
EQP-MEC-113,AST-MEC-113,Condenser Cooling Towers Asset Item 113,"Utility Block Building, Floor 1",Utility Block Building,Floor 3,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-113,SN-MEC-113-99,415V AC,3000 GPM,396 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-113,A320
EQP-ELE-114,AST-ELE-114,Diesel Generators Asset Item 114,"Utility Block Building, Floor 2",Utility Block Building,Floor 2,Electrical,Diesel Generators,Cummins,MOD-ELE-114,SN-ELE-114-99,415V AC,3500 kW,144 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-EL-003,A150
EQP-ELE-115,AST-ELE-115,UPS System Asset Item 115,"Transformer Yard, Floor 2",Transformer Yard,Floor 3,Electrical,UPS System,Vertiv,MOD-ELE-115,SN-ELE-115-99,415V AC,1600 kW,146 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-EL-002,A440
EQP-FIR-116,AST-FIR-116,CO2 Flooding System Asset Item 116,"Data Centre Building 01, Floor 2",Data Centre Building 01,Floor 2,Fire Protection,CO2 Flooding System,OEM Standard,MOD-FIR-116,SN-FIR-116-99,230V AC,Standard Load,407 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-116,A150
EQP-ELE-117,AST-ELE-117,Power Transformers Asset Item 117,"Generator Yard, Floor 3",Generator Yard,Floor 1,Electrical,Power Transformers,Kirloskar,MOD-ELE-117,SN-ELE-117-99,110 kV / 11 kV,5 MVA,246 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-EL-004,A440
EQP-ELE-118,AST-ELE-118,Diesel Generators Asset Item 118,"Utility Block Building, Floor 3",Utility Block Building,Floor 1,Electrical,Diesel Generators,Cummins,MOD-ELE-118,SN-ELE-118-99,415V AC,3500 kW,349 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-EL-003,A440
EQP-BMS-119,AST-BMS-119,BMS Server Panel Asset Item 119,"Transformer Yard, Floor 2",Transformer Yard,Floor 2,BMS,BMS Server Panel,OEM Standard,MOD-BMS-119,SN-BMS-119-99,230V AC,Standard Load,471 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-119,A240
EQP-FIR-120,AST-FIR-120,Pre-action Sprinklers Asset Item 120,"Generator Yard, Floor 1",Generator Yard,Floor 2,Fire Protection,Pre-action Sprinklers,OEM Standard,MOD-FIR-120,SN-FIR-120-99,230V AC,Standard Load,200 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-120,A150
EQP-ELE-121,AST-ELE-121,MV Switchgear Asset Item 121,"Generator Yard, Floor 1",Generator Yard,Floor 3,Electrical,MV Switchgear,Schneider Electric,MOD-ELE-121,SN-ELE-121-99,11 kV AC,31.5 kA,193 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-EL-001,A320
EQP-ELE-122,AST-ELE-122,Power Transformers Asset Item 122,"Generator Yard, Floor 3",Generator Yard,Floor 1,Electrical,Power Transformers,Kirloskar,MOD-ELE-122,SN-ELE-122-99,110 kV / 11 kV,5 MVA,22 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-004,A440
EQP-BMS-123,AST-BMS-123,BMS Software System Asset Item 123,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 3,BMS,BMS Software System,OEM Standard,MOD-BMS-123,SN-BMS-123-99,230V AC,Standard Load,180 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-123,A240
EQP-BMS-124,AST-BMS-124,BMS Control Network Asset Item 124,"Utility Block Building, Floor 3",Utility Block Building,Floor 3,BMS,BMS Control Network,OEM Standard,MOD-BMS-124,SN-BMS-124-99,230V AC,Standard Load,98 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-124,A500
EQP-MEC-125,AST-MEC-125,Condenser Cooling Towers Asset Item 125,"Data Centre Building 01, Floor 1",Data Centre Building 01,Floor 1,Mechanical,Condenser Cooling Towers,OEM Standard,MOD-MEC-125,SN-MEC-125-99,415V AC,3000 GPM,87 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-125,A440
EQP-ELE-126,AST-ELE-126,UPS System Asset Item 126,"Generator Yard, Floor 3",Generator Yard,Floor 1,Electrical,UPS System,Vertiv,MOD-ELE-126,SN-ELE-126-99,415V AC,1600 kW,209 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-EL-002,A320
EQP-BMS-127,AST-BMS-127,BMS Control Network Asset Item 127,"Utility Block Building, Floor 3",Utility Block Building,Floor 3,BMS,BMS Control Network,OEM Standard,MOD-BMS-127,SN-BMS-127-99,230V AC,Standard Load,446 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-127,A150
EQP-ELE-128,AST-ELE-128,MV Switchgear Asset Item 128,"Transformer Yard, Floor 1",Transformer Yard,Floor 3,Electrical,MV Switchgear,Schneider Electric,MOD-ELE-128,SN-ELE-128-99,11 kV AC,31.5 kA,354 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-001,A150
EQP-ELE-129,AST-ELE-129,MV Switchgear Asset Item 129,"Utility Block Building, Floor 3",Utility Block Building,Floor 3,Electrical,MV Switchgear,Schneider Electric,MOD-ELE-129,SN-ELE-129-99,11 kV AC,31.5 kA,169 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-001,A440
EQP-ELE-130,AST-ELE-130,Busduct Systems Asset Item 130,"Generator Yard, Floor 3",Generator Yard,Floor 2,Electrical,Busduct Systems,Godrej,MOD-ELE-130,SN-ELE-130-99,415V AC,3200 A,45 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-EL-006,A150
EQP-FIR-131,AST-FIR-131,Pre-action Sprinklers Asset Item 131,"Transformer Yard, Floor 2",Transformer Yard,Floor 2,Fire Protection,Pre-action Sprinklers,OEM Standard,MOD-FIR-131,SN-FIR-131-99,230V AC,Standard Load,290 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-GEN-131,A240
EQP-FIR-132,AST-FIR-132,FM-200 Clean Agent System Asset Item 132,"Utility Block Building, Floor 1",Utility Block Building,Floor 1,Fire Protection,FM-200 Clean Agent System,OEM Standard,MOD-FIR-132,SN-FIR-132-99,230V AC,Standard Load,251 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-132,A500
EQP-FIR-133,AST-FIR-133,Pre-action Sprinklers Asset Item 133,"Utility Block Building, Floor 1",Utility Block Building,Floor 2,Fire Protection,Pre-action Sprinklers,OEM Standard,MOD-FIR-133,SN-FIR-133-99,230V AC,Standard Load,269 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,HIGH,Standard Supplies Ltd,PHX-DC-01-PO-GEN-133,A240
EQP-MEC-134,AST-MEC-134,CRAH System Asset Item 134,"Utility Block Building, Floor 3",Utility Block Building,Floor 2,Mechanical,CRAH System,Vertiv,MOD-MEC-134,SN-MEC-134-99,415V AC,85 kW,102 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,LOW,Standard Supplies Ltd,PHX-DC-01-PO-ME-002,A320
EQP-MEC-135,AST-MEC-135,Acoustic Exhaust Asset Item 135,"Utility Block Building, Floor 2",Utility Block Building,Floor 1,Mechanical,Acoustic Exhaust,OEM Standard,MOD-MEC-135,SN-MEC-135-99,415V AC,35 dB Attenuation,91 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-135,A440
EQP-BMS-136,AST-BMS-136,BMS Software System Asset Item 136,"Utility Block Building, Floor 1",Utility Block Building,Floor 3,BMS,BMS Software System,OEM Standard,MOD-BMS-136,SN-BMS-136-99,230V AC,Standard Load,262 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-GEN-136,A150
EQP-ELE-137,AST-ELE-137,MV Switchgear Asset Item 137,"Generator Yard, Floor 2",Generator Yard,Floor 2,Electrical,MV Switchgear,Schneider Electric,MOD-ELE-137,SN-ELE-137-99,11 kV AC,31.5 kA,255 kg,600x600x1200 mm,Delivered,Installed,Pending,Setup Phase,12 Months,MEDIUM,Standard Supplies Ltd,PHX-DC-01-PO-EL-001,A500
